"job","firm","functional.area","type"
"Senior Project Manager - Life Sciences","Genioo","Project Management","Job"
"Data Engineer","Digital Power","Data Science","Job"
"Wireless Technology Intellectual Property (IP) Specialist","PA Consulting","Property Management","Job"
"MM-4797; Data Analyst, S&P","B2E Consulting","Data Science","Job"
"Director - Energy Transition","Capgemini Invent","Unknown","Job"
"Manager | Portfolio & Programme Management | Advisory | Dublin/Cork","PwC","Management","Job"
"Tax Depreciation, Senior Consultant","FTI Consulting","Finance","Job"
"Senior Python Specialist","Valcon","Software","Job"
"Business Development Director","Yonder Consulting","Sales","Job"
"Vice President Client Services - Life Sciences","Genioo","Strategy","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Cyber Security Consultant | Cyber Consulting | Dublin or Cork","PwC","Cyber Security","Job"
"MM-4810; Senior Professional Services / Consultancy Procurement Manager","B2E Consulting","Procurement","Job"
"Consultant- Programme and Change Acceleration","Capgemini Invent","Change Management","Job"
"Identitiy & Access Management Project Manager","ThreeTwoFour","Project Management","Job"
"Transactions Tax, Senior Director","FTI Consulting","Unknown","Job"
"Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting","FTI Consulting","Unknown","Job"
"PH-4808; Platform Engineer - AWS & Terraform","B2E Consulting","Unknown","Job"
"Associate Director, Research Practice","Yonder Consulting","Strategy","Job"
"Manager/Senior Manager - Energy & Utilities - Programme Management & Project Controls","Capgemini Invent","Management","Job"
"Consultant Business & Technology","Valcon","Process Management","Job"
"Senior Manager | Operational Excellence | Advisory | Dublin/Cork","PwC","Unknown","Job"
"Lead Technical Reviewer","PA Consulting","Unknown","Job"
"PH-4806; Senior Back End Developers","B2E Consulting","Unknown","Job"
"Resource Co-ordinator","PA Consulting","Unknown","Job"
"CyberArk Architect - Manager","PwC","Unknown","Job"
"Senior Director | Industrials & Special Situations | Strategic Communications","FTI Consulting","Unknown","Job"
"Senior DevOps Specialist","Valcon","Software","Job"
"Consultant / Senior Consultant - DevOps Architect - Business Technology (London/Manchester/Glasgow)","Capgemini Invent","IT Strategy","Job"
"Associate Director, Consulting Practice","Yonder Consulting","Strategy","Job"
"MM-4817; Business Analysts, Fixed Voice IMS & Mobile","B2E Consulting","Mobile & Apps","Job"
"Cloud Economics - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Supply Chain Manager - Advisory Consulting - Dublin","PwC","Supply Chain","Job"
"Full Stack Engineer","PA Consulting","Unknown","Job"
"Senior Director | Analytics | Strategic Communications | London","FTI Consulting","Management","Job"
"Cyber | Azure IAM architect - Senior Manager","PwC","Cyber Security","Job"
"Physicist - Defence & Security","PA Consulting","Cyber Security","Job"
"Cloud Strategy - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job"
"Senior Consultant, Managed Document Review | Technology","FTI Consulting","IT Strategy","Job"
"SAP Implementation Lead | Senior Manager | Technology Consulting | Advisory | Dublin/Cork","PwC","IT Strategy","Job"
"Cloud Operating Model - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Senior Consultant I |Regulated Industries & Energy Markets| Economic & Financial Consulting","FTI Consulting","Unknown","Job"
"Full Stack Engineer","PA Consulting","Unknown","Job"
"SAP Solution Architect | Senior Manager | Technology Consulting | Advisory | Dublin/Cork","PwC","IT Strategy","Job"
"Manager/Senior Manager - Energy & Utilities - Equipment & Asset Management Advisory","Capgemini Invent","Management","Job"
"Third Party Risk Management Consultant","PA Consulting","Management","Job"
"Director, Export Controls & Sanctions | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Technical Support Engineer | Technology","FTI Consulting","IT Strategy","Job"
"IT Strategy Consultant","PA Consulting","Strategy","Job"
"Manager/Senior Manager - Energy & Utilities - Digital Engineering (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job"
"Finance Transformation - Manager","PwC","Finance","Job"
"Revenue Accountant | Finance & Accounting | Core Operations","FTI Consulting","Finance","Job"
"Finance Transformation - Senior Associate","PwC","Finance","Job"
"Digital Workplace - Low Code No Code Consultant (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job"
"Solution Architect","PA Consulting","Unknown","Job"
"Advisory Senior Manager | Portfolio and Programme Management | Dublin/Cork","PwC","Management","Job"
"Senior Revenue Accountant | Finance & Accounting | Core Operations","FTI Consulting","Finance","Job"
"Senior Manager - Energy & Utilities - Transformation (Digital Strategy/Platform Architecture)","Capgemini Invent","Unknown","Job"
"AWS Engineer","PA Consulting","Unknown","Job"
"Consultant | Industrials & Special Situations | Strategic Communications","FTI Consulting","Unknown","Job"
"GCP-Cloud Architect","PA Consulting","Unknown","Job"
"Manager/Senior Manager - Energy & Utilities - Customer Experience (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job"
"Financial Services Advisory | Senior Associate | Banking (Risk)","PwC","Unknown","Job"
"Manager/Senior Manager - Energy & Utilities - Sector Transformation","Capgemini Invent","Unknown","Job"
"Financial Services Advisory | Senior Associate | Banking (Digital Banking)","PwC","Unknown","Job"
"Data Scientist","PA Consulting","Data Science","Job"
"Team Assistant | Regional Leads | Core Operations","FTI Consulting","Unknown","Job"
"Hardware Engineer","PA Consulting","Unknown","Job"
"Consultant - Valuations, Disputes and Arbitration | Energy |Economic and Financial Consulting","FTI Consulting","Management","Job"
"Financial Services Advisory | Senior Associate | Banking (Retail Banking Operations)","PwC","Unknown","Job"
"Consultant / Senior Consultant - Digital Business Architect (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job"
"Financial Services Advisory | Manager | Banking (Risk)","PwC","Unknown","Job"
"Benefits Advisor | Human Resources | Core Operations","FTI Consulting","Human Resources","Job"
"AWS Alliance Manager","PA Consulting","Unknown","Job"
"DevOps Engineer Consultant (London/Manchester/Glasgow)","Capgemini Invent","Software","Job"
"Software Engineer - C ++","PA Consulting","Software","Job"
"Financial Services Advisory | Manager | Banking (Transaction Enablement and Migration)","PwC","Unknown","Job"
"Service Designer - Digital Factory (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job"
"Marketing Executive | Forensic & Litigation Consulting","FTI Consulting","Marketing","Job"
"Cloud Operating Model - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"PR Manager","PA Consulting","Unknown","Job"
"Financial Services Advisory | Manager | Banking (Corporate Banking Operations)","PwC","Unknown","Job"
"Executive Assistant, Business Transformation, London","FTI Consulting","Unknown","Job"
"Cloud Economics - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job"
"Director, Managed Document Review | Technology","FTI Consulting","IT Strategy","Job"
"Finance Associate - Accounts Payable, 12 month contract","PA Consulting","Finance","Job"
"Advisory - Asset & Wealth Management - Senior Manager","PwC","Management","Job"
"Strategy& - Strategy Senior Manager I Dublin","PwC","Strategy","Job"
"EMEA Benefits Manager | Human Resources | Core Operations","FTI Consulting","Human Resources","Job"
"Cloud Strategy - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job"
"Lead Software Engineer","PA Consulting","Software","Job"
"Manager/Senior Manager - Energy & Utilities - Water (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job"
"Senior Consultant, Transaction Advisory Services | Corporate Finance & Restructuring","FTI Consulting","Corporate Finance","Job"
"Dynamics 365 CRM Developer","PA Consulting","CRM","Job"
"Cloud Security Senior Manager | Cyber Advisory | Dublin or Cork","PwC","Cyber Security","Job"
"Commercial & Procurement Specialist","PA Consulting","Procurement","Job"
"Financial Services - Advisory | Senior Manager | Dublin or Cork","PwC","Unknown","Job"
"Content Designer - Digital Factory (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job"
"HR Business Partner (15 month FTC maternity cover)","FTI Consulting","Human Resources","Job"
"AWS DevOps Engineer","PA Consulting","Software","Job"
"Senior Director | Sustainability Communications | Strategic Communications | London","FTI Consulting","Unknown","Job"
"Manager/Senior Manager - Energy & Utilities - Water (Glasgow)","Capgemini Invent","Unknown","Job"
"Specialist - Advisory Operate - Dublin/Cork, Ireland","PwC","Unknown","Job"
"Executive Assistant (9-month Fixed Term Maternity Contract) | Financial & Professional Services | Strategic Communications ","FTI Consulting","Management","Job"
"AWS Engineer","PA Consulting","Unknown","Job"
"Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork","PwC","IT Strategy","Job"
"Full Stack Engineer Consultant (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job"
"Senior Legal Counsel | Legal & Risk | Core Operations","FTI Consulting","Risk & Compliance","Job"
"Management Consultant -Retail Commercial Transformation - London/Manchester/Glasgow","Capgemini Invent","Management","Job"
"AWS Data Engineer","PA Consulting","Data Science","Job"
"Technology Consulting | Senior Associate | Advisory | Dublin/Cork","PwC","IT Strategy","Job"
"GCP Cloud Architect","PA Consulting","Cloud","Job"
"Legal Counsel (12 month FTC)| Legal & Risk | Core Operations","FTI Consulting","Risk & Compliance","Job"
"Technology Consulting | Senior Associate, Manager & Senior Manager | Advisory | Cork","PwC","IT Strategy","Job"
"Senior Support Enginner","PA Consulting","Unknown","Job"
"Sustainable Finance Regulation Implementation | Manager Consulting | Dublin or Cork","PwC","Finance","Job"
"Director, Forensic Accounting Advisory Services | Forensic and Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Supply Chain Senior Manager | Advisory Consulting | Dublin/Cork","PwC","Supply Chain","Job"
"Senior Consultant | Forensic Accounting Advisory Services | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"DevOps Engineer","PA Consulting","Software","Job"
